FID,BoroCode,BoroName,CountyFIPS,CDTA2020,CDTAName,CDTAType,Shape_Leng,Shape_Area,FID_1,station_id,name,lat,lon,capacity
0,3,Brooklyn,047,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),0,65642.176751100007095,131659858.425999999046326,0,72,W 52 St & 11 Ave,40.767272159999997,-73.993928879999999,55
1,3,Brooklyn,047,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),0,65257.094829599998775,75914034.427100002765656,1,79,Franklin St & W Broadway,40.719115520000003,-74.006666609999996,33
2,3,Brooklyn,047,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),0,37550.853188300003239,78196220.970699995756149,2,82,St James Pl & Pearl St,40.711174159999999,-74.000165449999997,27
3,3,Brooklyn,047,BK04,BK04 Bushwick (CD 4 Equivalent),0,36981.722659699997166,56653385.097199998795986,3,83,Atlantic Ave & Fort Greene Pl,40.683826040000000,-73.976323280000003,62
4,3,Brooklyn,047,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),0,78801.902020599998650,165455764.990999996662140,4,116,W 17 St & 8 Ave,40.741776029999997,-74.001497459999996,50
5,3,Brooklyn,047,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),0,77356.712386500003049,86641009.729800000786781,5,119,Park Ave & St Edwards St,40.696089409999999,-73.978034149999999,53
6,3,Brooklyn,047,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),0,93916.413344999993569,105549400.086999997496605,6,120,Lexington Ave & Classon Ave,40.686767930000002,-73.959281680000004,19
7,3,Brooklyn,047,BK08,BK08 Crown Heights (North) (CD 8 Approximation),0,38332.616148599998269,46944443.515900000929832,7,127,Barrow St & Hudson St,40.731724280000002,-74.006744359999999,31
8,3,Brooklyn,047,BK09,BK09 Crown Heights (South) (CD 9 Approximation),0,32243.101351599998452,44093398.763999998569489,8,128,MacDougal St & Prince St,40.727102580000000,-74.002970880000007,56
9,3,Brooklyn,047,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0,47856.981251199998951,109208309.775000005960464,9,143,Clinton St & Joralemon St,40.692395019999999,-73.993379090000005,50
10,3,Brooklyn,047,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),0,48986.154245600002469,103016112.684000000357628,10,144,Nassau St & Navy St,40.698398949999998,-73.980689139999996,58
11,3,Brooklyn,047,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0,54264.159375499999442,101058172.277999997138977,11,146,Hudson St & Reade St,40.716250080000002,-74.009105899999994,55
12,3,Brooklyn,047,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),0,73571.924765799994930,91135140.251000002026558,12,150,E 2 St & Avenue C,40.720873599999997,-73.980857950000001,56
13,3,Brooklyn,047,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),0,53399.752108400003635,79146569.524700000882149,13,151,Cleveland Pl & Spring St,40.722103786700004,-73.997249007199997,33
14,3,Brooklyn,047,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),0,114189.010779000003822,125621123.190999999642372,14,152,Warren St & W Broadway,40.714739930000000,-74.009106270000004,49
15,3,Brooklyn,047,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),0,35824.015162399999099,50875436.380199998617172,15,153,E 40 St & 5 Ave,40.752062307000003,-73.981632404300001,63
16,3,Brooklyn,047,BK17,BK17 East Flatbush (CD 17 Approximation),0,50561.322047299996484,93765246.709199994802475,16,157,Henry St & Atlantic Ave,40.690892720000001,-73.996123490000002,23
17,3,Brooklyn,047,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),0,214750.493753999995533,249241737.911000013351440,17,161,LaGuardia Pl & W 3 St,40.729170250000003,-73.998102309999993,35
18,3,Brooklyn,047,BK55,BK55 Prospect Park (JIA 55 Approximation),1,24199.843261999998504,27323776.654699999839067,18,164,E 47 St & 2 Ave,40.753230979999998,-73.970325169999995,77
19,3,Brooklyn,047,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),1,207855.478288999991491,112668192.113999992609024,19,168,W 18 St & 6 Ave,40.739713010000003,-73.994564049999994,47
20,2,Bronx,005,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),0,32293.960341999998491,58247049.026399999856949,20,174,E 25 St & 1 Ave,40.738176500000002,-73.977386620000004,35
21,2,Bronx,005,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),0,51339.777987200002826,61354341.490199998021126,21,212,W 16 St & The High Line,40.743349350000003,-74.006817530000006,60
22,2,Bronx,005,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),0,41045.035568599996623,46126182.632100000977516,22,216,Columbia Heights & Cranberry St,40.700378669999999,-73.995480590000000,37
