,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
120184,BE1F44BE24671DCC,classic_bike,2021-12-03 12:49:02,2021-12-03 12:55:41,Morgan WH station,SYS032,McKibbin St & Bogart St,5059,40.70327577818653,-73.93183530424722,40.706237,-73.933871,member
120201,43C36F72681128DB,classic_bike,2021-12-03 12:42:50,2021-12-03 12:56:26,Morgan WH station,SYS032,McKibbin St & Bogart St,5059,40.70327577818653,-73.93183530424722,40.706237,-73.933871,member
478076,D8086966EC55D3C3,classic_bike,2021-12-08 22:45:07,2021-12-08 22:53:38,Melrose St & Broadway,4801,Morgan WH station,SYS032,40.697481,-73.935877,40.70327577818653,-73.93183530424722,member
478195,65EBE068FA3EE9D9,electric_bike,2021-12-06 06:38:05,2021-12-06 06:53:52,Lewis Ave & Decatur St,4237,Morgan WH station,SYS032,40.6814598,-73.934903,40.70327577818653,-73.93183530424722,member
478220,3F0024E32959EA07,electric_bike,2021-12-02 06:34:47,2021-12-02 06:48:48,Lewis Ave & Decatur St,4237,Morgan WH station,SYS032,40.6814598,-73.934903,40.70327577818653,-73.93183530424722,member
479836,A8E45B742C6ADEBD,electric_bike,2021-12-03 12:01:31,2021-12-03 12:01:55,Morgan WH station,SYS032,Morgan WH station,SYS032,40.70327577818653,-73.93183530424722,40.70327577818653,-73.93183530424722,member
479837,846166F50C2BBB6F,electric_bike,2021-12-03 12:02:13,2021-12-03 12:02:51,Morgan WH station,SYS032,Morgan WH station,SYS032,40.70327577818653,-73.93183530424722,40.70327577818653,-73.93183530424722,member
479838,23EB0640C3CA56E3,electric_bike,2021-12-03 11:59:43,2021-12-03 12:00:08,Morgan WH station,SYS032,Morgan WH station,SYS032,40.70327577818653,-73.93183530424722,40.70327577818653,-73.93183530424722,member
479962,EEF74519E8981B4A,classic_bike,2021-12-17 08:27:45,2021-12-17 08:37:26,Stagg St & Morgan Ave,5170,Morgan WH station,SYS032,40.710681,-73.93372,40.70327577818653,-73.93183530424722,member
481041,8311E642A9D4CF16,classic_bike,2021-12-09 07:45:20,2021-12-09 07:52:25,McKibbin St & Bogart St,5059,Morgan WH station,SYS032,40.706237,-73.933871,40.70327577818653,-73.93183530424722,member
481456,C508DBEC766AD896,electric_bike,2021-12-03 12:16:16,2021-12-03 12:16:53,Morgan WH station,SYS032,Morgan WH station,SYS032,40.70327577818653,-73.93183530424722,40.70327577818653,-73.93183530424722,member
482850,2657FDCCD788D944,electric_bike,2021-12-01 06:32:34,2021-12-01 06:46:40,Lewis Ave & Decatur St,4237,Morgan WH station,SYS032,40.6814598,-73.934903,40.70327577818653,-73.93183530424722,member
482914,6C471C93BB0E142F,electric_bike,2021-12-09 06:32:49,2021-12-09 06:48:07,Lewis Ave & Decatur St,4237,Morgan WH station,SYS032,40.6814598,-73.934903,40.70327577818653,-73.93183530424722,member
483547,6850B2B540EBA3AB,classic_bike,2021-12-29 11:03:21,2021-12-29 11:08:16,Knickerbocker Ave & Thames St,5018,Morgan WH station,SYS032,40.70539,-73.92976,40.70327577818653,-73.93183530424722,member
485345,450F9A0E424CE03E,classic_bike,2021-12-25 22:37:47,2021-12-25 22:47:01,Melrose St & Broadway,4801,Morgan WH station,SYS032,40.697481,-73.935877,40.70327577818653,-73.93183530424722,member
488156,E1CDCEC7D04168A7,classic_bike,2021-12-07 22:45:02,2021-12-07 22:50:13,Evergreen Ave & Noll St,4873,Morgan WH station,SYS032,40.70106,-73.93318,40.70327577818653,-73.93183530424722,member
494253,04FF65B2CA1BE799,classic_bike,2021-12-03 08:39:41,2021-12-03 10:28:12,Underhill Ave & Pacific St,4231,Morgan WH station,SYS032,40.6804836,-73.9646795,40.70327577818653,-73.93183530424722,member
494656,119C5A278E457E2E,electric_bike,2021-12-18 06:51:11,2021-12-18 07:06:20,Albany Ave & Fulton St,4237,Morgan WH station,SYS032,40.6800105,-73.938475,40.70327577818653,-73.93183530424722,member
495439,9EB1298BA7D5D496,electric_bike,2021-12-03 06:41:18,2021-12-03 06:59:30,Marcus Garvey Blvd & Macon St,4278,Morgan WH station,SYS032,40.682601,-73.938037,40.70327577818653,-73.93183530424722,member
