,Station,Latitude,Longitude
0,2733,40.633385,-74.016562
1,2782,40.635679,-74.020005
2,2832,40.637033,-74.022141
3,2872,40.63766,-74.01782
4,2883,40.638246,-74.024714
5,2912,40.638196,-74.013821
6,2923,40.639859,-74.019776
7,2932,40.638799,-74.027472
8,2951,40.639673,-74.008957
9,2961,40.640125,-74.015726
10,2971,40.639978,-74.02324
11,3000,40.640831,-74.010996
12,3007,40.642031,-73.981073
13,3011,40.641269,-74.017651
14,3019,40.640493,-74.02564
15,3046,40.643817,-73.977433
16,3050,40.642408,-74.013318
17,3056,40.643546,-73.986418
18,3084,40.642703,-74.009441
19,3090,40.642809,-73.979239
20,3093,40.642622,-74.016866
21,3117,40.644743,-74.003754
22,3125,40.644719,-73.974515
23,3129,40.643371,-74.011884
24,3135,40.644367,-73.984276
25,3138,40.644512,-74.021506
26,3161,40.645921,-74.005708
27,3166,40.645074,-73.979681
28,3169,40.644862,-74.014531
29,3178,40.646377,-74.023087
30,3192,40.647379,-74.000911
31,3199,40.647718,-73.973663
32,3202,40.646351,-74.009271
33,3208,40.646037,-73.980963
34,3211,40.64744,-74.018846
35,3230,40.648481,-73.97058
36,3233,40.647105,-74.004483
37,3240,40.649037,-73.97673
38,3243,40.649143,-74.012384
39,3253,40.649292,-74.020105
40,3266,40.648169,-74.000057
41,3272,40.648055,-73.972432
42,3275,40.649145,-74.009486
43,3280,40.648005,-73.979342
44,3283,40.650176,-74.015606
45,3303,40.649681,-73.967829
46,3306,40.649983,-74.005144
47,3315,40.651173,-74.011405
48,3344,40.651566,-73.972212
49,3347,40.651354,-74.007168
50,3353,40.650739,-73.977739
51,3356,40.652502,-74.013587
52,3376,40.651847,-73.965248
53,3379,40.652657,-74.002356
54,3385,40.652563,-73.972573
55,3388,40.652512,-74.008906
56,3394,40.651654,-73.981231
57,3420,40.654144,-74.00422
58,3426,40.653368,-73.976291
59,3428,40.654798,-74.014372
60,3451,40.654098,-74.001131
61,3457,40.65482,-73.973217
62,3460,40.65708866668485,-74.00870203971863
63,3492,40.655278,-74.003101
64,3498,40.657265,-73.974165
65,3501,40.6554,-74.010628
66,3507,40.656633,-73.983864
67,3515,40.658029,-73.989605
68,3523,40.656986,-73.998194
69,3532,40.659176,-74.006584
70,3538,40.65629,-73.977335
71,3547,40.658489,-73.985543
72,3555,40.659555,-73.995068
73,3564,40.657743,-74.001141
74,3579,40.659491,-73.980139
75,3588,40.659053,-73.98854
76,3596,40.660079,-73.998633
77,3611,40.659945,-73.977504
78,3620,40.660906,-73.983074
79,3628,40.66016,-73.990974
80,3651,40.661063,-73.979452
81,3665,40.662705,-73.956911
82,3668,40.662584,-73.995554
83,3696,40.6630619,-73.9538746
84,3699,40.663493,-73.991007
85,3704,40.664079,-73.960251
86,3707,40.662611,-73.998623
87,3722,40.66514681533792,-73.97637605667114
88,3731,40.663779,-73.983968
89,3736,40.665816,-73.956934
90,3739,40.665507,-73.993037
91,3762,40.666208,-73.981999
92,3771,40.666287,-73.98895
93,3776,40.666439,-73.960556
94,3779,40.666168,-73.995549
95,3803,40.666318,-73.985461
96,3811,40.666197,-73.992466
97,3834,40.668663,-73.979881
98,3842,40.668627,-73.987
99,3847,40.6679411,-73.9588
100,3850,40.668546,-73.993333
101,3865,40.668132,-73.97363831
102,3874,40.670484,-73.98209
103,3879,40.669178,-73.955416
104,3882,40.668603,-73.9904394
105,3887,40.6686744,-73.9618148
106,3905,40.670383,-73.978396
107,3914,40.6704922,-73.98541675
108,3919,40.670776,-73.95768
109,3922,40.671907,-73.993612
110,3928,40.671649,-73.963114
111,3931,40.671409,-74.001328
112,3940,40.672672,-74.008795
113,3946,40.672784,-73.979826
114,3955,40.670514,-73.988766
115,3960,40.672168,-73.9609
116,3972,40.6725058,-74.00494695
117,3978,40.6711978,-73.97484126
118,3981,40.67363551341504,-74.01195555925369
119,3987,40.672815,-73.983523
120,3993,40.672695,-73.954131
121,3996,40.672603,-73.98983
122,4001,40.6737236,-73.9631611
123,4010,40.675021,-73.971115
124,4013,40.674705,-74.007557
125,4019,40.674089,-73.978728
126,4028,40.67507,-73.987752
127,4033,40.6741806,-73.9564947
128,4042,40.6740123,-73.9671457
129,4045,40.67434,-74.001947
130,4051,40.675146838709786,-73.97523209452629
131,4054,40.6753274,-74.0100698
132,4060,40.6751622,-73.9814832
133,4066,40.676368,-73.952918
134,4074,40.67652,-73.959608
135,4077,40.674696,-73.997858
136,4083,40.6767,-73.969024
137,4086,40.6763744,-74.00324957
138,4095,40.677343,-74.012751
139,4101,40.676757,-73.983262
140,4107,40.677592,-73.955637
141,4110,40.677729,-73.993641
142,4116,40.6769694,-73.96579
143,4119,40.678356,-74.000145
144,4124,40.680356,-73.947679
145,4125,40.6776147,-73.97324283
146,4128,40.6777748,-74.0094613
147,4134,40.67653,-73.978469
148,4137,40.677236,-74.015665
149,4143,40.679097,-73.987654
150,4148,40.679194,-73.95879
151,4151,40.6787242,-73.99599099
152,4157,40.679439,-73.968044
153,4161,40.6786,-73.90369
154,4166,40.679331,-73.975195
155,4169,40.679043,-74.011169
156,4175,40.679278,-73.98154
157,4184,40.6786115,-73.99037292
158,4190,40.678045,-73.962408
159,4193,40.680959,-73.999057
160,4199,40.680974,-73.97101
161,4202,40.6794327,-74.00785041
162,4203,40.67945,-73.90474
163,4205,40.67890679,-73.94142771
164,4208,40.6795766,-73.97854971
165,4214,40.680983,-73.950048
166,4217,40.6802133,-73.98432695
167,4222,40.680342423,-73.9557689392
168,4225,40.680611,-73.99475825
169,4228,40.679427,-73.929891
170,4231,40.680484,-73.96468
171,4237,40.68001,-73.938475
172,4243,40.6812117,-74.00860912
173,4244,40.68139,-73.90756
174,4249,40.681778,-73.97989
175,4255,40.682166,-73.95399
176,4258,40.68199044270703,-73.99079024791718
177,4263,40.68186,-73.959432
178,4266,40.683116,-73.997852
179,4278,40.682601,-73.938037
180,4281,40.680945,-73.975673
181,4285,40.683199,-73.911666
182,4290,40.683426,-73.984275
183,4298,40.682915,-73.993182
184,4307,40.6828003,-73.99990419
185,4317,40.68281,-73.90623
186,4319,40.6823687,-73.944118
187,4322,40.683124,-73.978951
188,4327,40.68402,-73.94977
189,4330,40.684355,-73.989016
190,4336,40.684568,-73.95881
191,4339,40.6849894,-73.99440329
192,4345,40.683239,-73.965996
193,4348,40.6830456,-74.00348559
194,4354,40.683826,-73.976323
195,4357,40.68458,-73.90925
196,4362,40.6853761,-73.98302136
197,4366,40.68565,-73.91564
198,4368,40.6851443,-73.95380904
199,4371,40.685424,-73.991277
200,4374,40.685126,-74.025353
201,4377,40.68488,-73.96304
202,4380,40.6847514,-73.99917254
203,4386,40.684157,-73.969222
204,4392,40.6851532,-73.94111
205,4395,40.686919,-73.976682
206,4399,40.68652,-73.91321
207,4404,40.684967,-73.986208
208,4413,40.686371,-73.993833
209,4419,40.68650065,-73.96563307
210,4422,40.68593,-74.002424
211,4425,40.686312,-73.935775
212,4428,40.687534,-73.972652
213,4432,40.6882,-73.90798
214,4434,40.686203,-73.944694
215,4437,40.68683208,-73.9796772
216,4440,40.68706579875912,-74.01675585121666
217,4441,40.68663,-73.9168
218,4446,40.686744,-73.990632
219,4452,40.686767,-73.959281
220,4455,40.6881529,-73.99520919
221,4461,40.68764484,-73.96968902
222,4474,40.68858,-73.91227
223,4476,40.690082,-73.947915
224,4479,40.689622,-73.983043
225,4483,40.68822,-73.91966
226,4488,40.690238,-73.992031
227,4494,40.688515,-73.964763
228,4497,40.6893952,-73.9995126
229,4507,40.68906,-73.90506
230,4510,40.6894932,-73.942061
231,4513,40.690065,-73.978776
232,4517,40.68989,-73.91458
233,4519,40.690725,-73.951334
234,4526,40.69047,-73.923511
235,4528,40.690648,-73.957462
236,4531,40.690892,-73.996123
237,4546,40.691782,-73.97373
238,4550,40.68929,-73.90951
239,4553,40.691283,-73.945242
240,4560,40.69122,-73.91693
241,4565,40.69102925677968,-73.99183362722397
242,4568,40.692,-73.92617
243,4582,40.69081,-73.90448
244,4587,40.69178,-73.97877
245,4590,40.692316,-74.014865
246,4591,40.69055,-73.91181
247,4596,40.69221589,-73.9842844
248,4600,40.69146,-73.92146
249,4605,40.69239502,-73.99337909
250,4608,40.69329,-73.92852
251,4611,40.69196,-73.965368
252,4614,40.69165183,-73.9999786
253,4617,40.69237074,-73.93705428
254,4620,40.693082,-73.971789
255,4623,40.693,-73.90824
256,4628,40.691965,-73.981301
257,4632,40.69296,-73.91605
258,4634,40.69331716,-73.95381995
259,4637,40.692418,-73.989494
260,4640,40.69356,-73.92524
261,4645,40.695128,-73.99595
262,4651,40.693261,-73.968896
263,4654,40.69517,-73.90311
264,4656,40.6933982,-73.939877
265,4659,40.69327,-73.977039
266,4663,40.69545,-73.91164
267,4665,40.694254,-73.946269
